feature,importance
event_data_prop_a8876db3_total_duration_std,7.699999999999999
event_data_prop_2dc29e21_duration_max,7.6
event_data_prop_9e4c8c7b_duration_sum,7.6
event_data_prop_a1bbe385_duration_std,7.6
event_data_prop_f71c4741_total_duration_mean,7.6
event_data_prop_9ce586dd_duration_std,7.500000000000002
event_data_prop_69fdac0a_duration_max,7.5
event_data_prop_895865f3_duration_mean,7.5
event_data_prop_56cd3b43_total_duration_max,7.5
event_data_prop_00c73085_misses_mean,7.499999999999999
cnt_Crystal Caves - Level 1_sum,7.4
event_data_prop_ad2fc29c_total_duration_sum,7.4
event_data_prop_d88e8f25_total_duration_mean,7.4
event_data_prop_392e14df_duration_sum,7.4
event_data_prop_99ea62f3_duration_mean,7.3999999999999995
event_data_prop_9de5e594_total_duration_mean,7.3999999999999995
event_data_prop_7525289a_duration_mean,7.300000000000001
event_data_prop_e37a2b78_duration_max,7.3
event_data_prop_e720d930_duration_mean,7.299999999999999
event_data_prop_804ee27f_duration_sum,7.2
event_data_prop_9ee1c98c_duration_max,7.2
event_data_prop_250513af_total_duration_std,7.199999999999999
event_data_prop_e37a2b78_duration_mean,7.199999999999999
event_data_prop_9e4c8c7b_duration_max,7.199999999999999
event_data_prop_4ef8cdd3_duration_max,7.1000000000000005
cnt_event_code_4095_sum,7.1000000000000005
event_data_prop_e7561dd2_duration_max,7.1000000000000005
event_data_prop_0a08139c_total_duration_sum,7.1
event_data_prop_89aace00_duration_std,7.1
event_data_prop_022b4259_duration_sum,7.1
event_data_prop_00c73085_misses_std,7.1
cnt_Tree Top City - Level 3_sum,7.1
event_data_prop_f7e47413_duration_sum,7.000000000000001
event_data_prop_71fe8f75_duration_sum,7.0
event_data_prop_2a512369_duration_std,6.999999999999999
event_data_prop_04df9b66_total_duration_sum,6.9
event_data_prop_e4f1efe6_duration_std,6.9
cnt_event_code_2083_sum,6.9
event_data_prop_d38c2fd7_duration_mean,6.9
event_data_prop_923afab1_total_duration_max,6.8999999999999995
event_data_prop_e57dd7af_duration_max,6.8999999999999995
event_data_prop_bbfe0445_duration_max,6.8999999999999995
event_data_prop_90efca10_duration_sum,6.899999999999999
event_data_prop_cf7638f3_duration_sum,6.800000000000002
event_data_prop_795e4a37_total_duration_sum,6.800000000000001
event_data_prop_b012cd7f_duration_std,6.800000000000001
cnt_event_code_4110_sum,6.8
event_data_prop_67439901_total_duration_max,6.799999999999999
event_data_prop_d88ca108_duration_std,6.700000000000001
event_data_prop_7f0836bf_duration_sum,6.7
event_data_prop_49ed92e9_total_duration_max,6.7
event_data_prop_df4fe8b6_duration_std,6.699999999999999
event_data_prop_e5c9df6f_duration_sum,6.699999999999999
event_data_prop_15eb4a7d_duration_std,6.699999999999999
